Apartment_ID,Location,Postal Code,Number of Floors,Number of Rooms,Ceiling Finish,Room Size (sq. meters),Year Built,Month Built,Utilities Available,Price of Apartment,Price of Apartment (USD)
NRAS0001,NorthEast_Ekiti State_437 Broadway Road,995056.0,12.0,8.0,Gypsum,48.13007192819961,1993.0,11.0,"Gas, Solar Power, Water Supply, Internet",26691090.0,35588.12
NRAS0002,NorthWest_Plateau State_387 Main Street,568247.0,1.0,6.0,POP,29.288397154203885,2007.0,1.0,Solar Power,18158672.0,24211.562666666665
NRAS0003,SouthEast_Nasarawa State_247 Unity Avenue,304911.0,6.0,7.0,POP,13.122073778737846,2006.0,10.0,"Internet, Solar Power, Electricity, Gas",6058081.0,8077.441333333333
NRAS0004,SouthEast_Bauchi State_323 Broadway Road,938476.0,6.0,10.0,Wood,24.854700810070387,1952.0,11.0,"Solar Power, Gas, Electricity, Water Supply",49056996.0,65409.328
NRAS0005,NorthWest_Plateau State_493 Unity Avenue,213401.0,7.0,1.0,Wood,39.27524948815159,2006.0,5.0,"Water Supply, Internet",31548382.0,42064.509333333335
NRAS0006,SouthWest_Kebbi State_397 Unity Avenue,341257.0,10.0,1.0,Wood,14.374742172948505,1953.0,1.0,"Gas, Water Supply, Internet, Electricity",4261358.0,5681.810666666666
NRAS0007,SouthEast_Ekiti State_408 SDA Street,861536.0,14.0,3.0,PVC,38.71716808870875,2022.0,11.0,"Water Supply, Internet, Gas, Electricity",21507379.0,28676.50533333333
NRAS0008,NorthEast_Benue State_363 SDA Street,525805.0,1.0,7.0,Gypsum,43.07794861486391,1951.0,9.0,"Internet, Solar Power, Water Supply, Electricity, Gas",45417191.0,60556.25466666667
NRAS0009,NorthCentral_Benue State_417 SDA Street,415560.0,1.0,2.0,POP,37.58801857322124,1973.0,7.0,"Internet, Water Supply, Gas, Electricity",48898849.0,65198.46533333333
NRAS00010,NorthCentral_Ebonyi State_352 SDA Street,922788.0,10.0,6.0,POP,10.70285502370037,1996.0,1.0,"Electricity, Solar Power, Water Supply, Gas",49757223.0,66342.964
NRAS00011,NorthEast_Lagos State_49 Main Street,822804.0,11.0,4.0,PVC,45.46859760167824,1962.0,6.0,Water Supply,22264633.0,29686.177333333333
NRAS00012,NorthWest_Oyo State_479 Unity Avenue,149005.0,14.0,3.0,Gypsum,11.362553831087132,1989.0,5.0,Internet,9236923.0,12315.897333333332
NRAS00013,SouthEast_Lagos State_129 Unity Avenue,873132.0,10.0,9.0,Plaster,28.87522817152388,2007.0,11.0,"Water Supply, Gas, Solar Power, Electricity, Internet",3054943.0,4073.2573333333335
NRAS00014,SouthWest_Kogi State_121 SDA Street,159731.0,1.0,9.0,Gypsum,45.6708040051657,1960.0,8.0,"Electricity, Water Supply",8438780.0,11251.706666666669
NRAS00015,SouthEast_Plateau State_56 Main Street,253696.0,7.0,6.0,Gypsum,13.203671596081904,1963.0,3.0,"Water Supply, Internet, Electricity, Solar Power, Gas",43311918.0,57749.224
NRAS00016,NorthWest_Sokoto State_27 Unity Avenue,463302.0,6.0,3.0,Gypsum,23.503219875833004,1960.0,7.0,"Solar Power, Internet",17136782.0,22849.042666666668
NRAS00017,NorthEast_Kaduna State_15 Crescent Lane,557290.0,5.0,1.0,PVC,15.44597225913305,1957.0,6.0,"Internet, Electricity",42624075.0,56832.1
NRAS00018,NorthCentral_Borno State_491 Main Street,290085.0,9.0,3.0,Gypsum,43.92332351537191,1962.0,3.0,"Electricity, Gas, Internet",8174565.0,10899.42
NRAS00019,SouthEast_Enugu State_126 Crescent Lane,455639.0,9.0,9.0,PVC,28.99343353235007,2005.0,11.0,"Solar Power, Water Supply, Gas, Electricity",46147046.0,61529.39466666667
NRAS00020,NorthEast_Yobe State_197 SDA Street,775045.0,5.0,8.0,Gypsum,10.364086510780846,1977.0,12.0,"Solar Power, Water Supply",33956159.0,45274.87866666666
NRAS00021,NorthCentral_Imo State_463 Unity Avenue,795774.0,15.0,9.0,Gypsum,19.92244617939617,1979.0,8.0,Gas,49981140.0,66641.52
NRAS00022,NorthCentral_Imo State_298 Broadway Road,260785.0,10.0,1.0,POP,31.780905526534788,1974.0,11.0,"Gas, Solar Power, Electricity, Water Supply, Internet",3811107.0,5081.476
NRAS00023,NorthWest_Plateau State_212 SDA Street,862752.0,3.0,7.0,Wood,28.30281506966788,2019.0,12.0,"Water Supply, Internet, Electricity, Gas, Solar Power",17512554.0,23350.072
